sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	2215.5039745627982	1768.0	4726717	5574208	2516
0.2	4431.364069952305	3079.5	8186694	11149312	2516
0.3	6646.740858505565	4073.0	10815679	16723200	2516
0.4	8865.472575516693	4831.5	12880112	22305529	2516
0.5	11079.605723370429	5460.0	14541313	27876288	2516
0.6	13297.065182829889	5978.0	15913044	33455416	2516
0.7	15512.005166931638	6394.0	17074429	39028205	2516
0.8	17727.2106518283	6764.0	18069612	44601662	2516
0.9	19944.073529411766	7078.0	18939699	50179289	2516
1.0	22159.553656597775	7362.0	19711998	55753437	2516
