sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	2864.2048503611973	1529.0	3661897	5550829	1938
0.2	5728.858101135191	2355.0	5623704	11102527	1938
0.3	8592.804953560371	2877.0	6927077	16652856	1938
0.4	11456.095975232198	3249.0	7877538	22201914	1938
0.5	14322.017543859649	3544.5	8617710	27756070	1938
0.6	17182.953044375645	3798.0	9212940	33300563	1938
0.7	20049.65015479876	3979.5	9706059	38856222	1938
0.8	22910.94375644995	4129.0	10122639	44401409	1938
0.9	25775.302373581013	4276.0	10481990	49952536	1938
1.0	28639.753353973167	4400.0	10796207	55503842	1938
