sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1276.693139448173	875.5	3404706	3424091	2682
0.2	2553.6517524235646	1748.0	6771855	6848894	2682
0.3	3828.856077554064	2612.0	10097011	10268992	2682
0.4	5105.049962714393	3466.0	13387786	13691744	2682
0.5	6383.587248322147	4324.5	16648446	17120781	2682
0.6	7657.321029082774	5138.5	19861381	20536935	2682
0.7	8933.521252796421	5983.5	23044672	23959704	2682
0.8	10209.29716629381	6808.0	26193628	27381335	2682
0.9	11484.664429530201	7622.5	29307097	30801870	2682
1.0	12761.77442207308	8440.5	32392347	34227079	2682
