sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1900.1765658397564	1543.0	28356287	29336826	15439
0.2	3800.3556577498543	3007.0	55083579	58673691	15439
0.3	5700.920202085627	4388.0	80475652	88016507	15439
0.4	7601.283567588574	5728.0	104703793	117356217	15439
0.5	9501.386035364985	7010.0	127876562	146691899	15439
0.6	11401.74363624587	8238.0	150106058	176031520	15439
0.7	13301.644536563248	9427.0	171457212	205364090	15439
0.8	15202.18913142043	10559.0	191994985	234706598	15439
0.9	17102.527754388237	11663.0	211789419	264045926	15439
1.0	19002.696806788004	12738.0	230870356	293382636	15439
