sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	2606.1975764867652	1519.5	27089534	30325715	11636
0.2	5212.3595737366795	2737.5	48778802	60651016	11636
0.3	7818.5492437263665	3722.0	66332390	90976639	11636
0.4	10424.351925060158	4529.0	80703917	121297759	11636
0.5	13030.83379168099	5204.0	92596178	151626782	11636
0.6	15636.20986593331	5754.0	102515003	181942938	11636
0.7	18242.561533172913	6225.0	110871290	212270446	11636
0.8	20848.478944654522	6624.5	117981041	242592901	11636
0.9	23454.82021313166	6969.0	124068732	272920288	11636
1.0	26060.764523891372	7264.0	129334550	303243056	11636
