sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	3791.4608534946237	1988.5	20904343	22566775	5952
0.2	7582.913978494624	3689.0	38868935	45133504	5952
0.3	11374.351814516129	5140.5	54408850	67700142	5952
0.4	15165.182459677419	6418.0	67923671	90263166	5952
0.5	18957.50806451613	7526.5	79747705	112835088	5952
0.6	22749.223958333332	8511.5	90125415	135403381	5952
0.7	26540.3689516129	9377.0	99309939	157968276	5952
0.8	30331.22110215054	10146.5	107454577	180531428	5952
0.9	34122.59660618279	10829.5	114712447	203097695	5952
1.0	37914.30577956989	11445.5	121215131	225665948	5952
