sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	545.8101265822785	309.0	82545	86238	158
0.2	1089.1962025316457	606.5	157921	172093	158
0.3	1637.7088607594937	866.5	227735	258758	158
0.4	2179.6772151898736	1113.0	291526	344389	158
0.5	2728.1012658227846	1341.0	351092	431040	158
0.6	3268.4430379746836	1566.0	405293	516414	158
0.7	3816.993670886076	1750.0	456385	603085	158
0.8	4361.360759493671	1937.5	503037	689095	158
0.9	4908.841772151899	2109.5	547204	775597	158
1.0	5454.227848101265	2265.0	588107	861768	158
