sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	628.0919146284468	469.0	3952744	4031722	6419
0.2	1256.4932232434958	915.0	7754992	8065430	6419
0.3	1884.2366412213742	1344.0	11409381	12094915	6419
0.4	2512.6571116996415	1764.0	14931167	16128746	6419
0.5	3141.0492288518462	2157.0	18322490	20162395	6419
0.6	3769.2341486212804	2554.0	21591306	24194714	6419
0.7	4397.148465493067	2927.0	24742463	28225296	6419
0.8	5025.353481850756	3289.0	27786269	32257744	6419
0.9	5653.295684686088	3632.0	30722200	36288505	6419
1.0	6281.659604299735	3969.0	33560695	40321973	6419
