sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	478.98705636743216	415.0	4534491	4588696	9580
0.2	957.9772442588727	820.5	8962509	9177422	9580
0.3	1437.1907098121085	1209.0	13289580	13768287	9580
0.4	1916.2337160751565	1596.0	17516362	18357519	9580
0.5	2395.048016701461	1971.0	21644082	22944560	9580
0.6	2874.205949895616	2341.0	25685338	27534893	9580
0.7	3353.142693110647	2702.0	29631637	32123107	9580
0.8	3832.384029227557	3056.5	33498425	36714239	9580
0.9	4311.324739039666	3394.5	37276728	41302491	9580
1.0	4790.221816283924	3731.0	40972758	45890325	9580
