sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	398.92378306558766	335.0	3263345	3302690	8279
0.2	798.027418770383	659.0	6452536	6606869	8279
0.3	1196.7847566131175	981.0	9565113	9908181	8279
0.4	1596.0776663848292	1289.0	12610670	13213927	8279
0.5	1994.701050851552	1597.0	15582443	16514130	8279
0.6	2393.6179490276604	1888.0	18488317	19816763	8279
0.7	2792.4756613117524	2182.0	21331424	23118906	8279
0.8	3191.58062567943	2473.0	24114244	26423096	8279
0.9	3590.572291339534	2749.0	26836697	29726348	8279
1.0	3989.5702379514432	3021.0	29499325	33029652	8279
