sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1894.4803748231966	1378.5	9919679	10715181	5656
0.2	3788.61315417256	2592.5	18614567	21428396	5656
0.3	5682.0972418670435	3676.5	26365981	32137942	5656
0.4	7576.827439886846	4647.0	33342345	42854536	5656
0.5	9471.310643564357	5534.5	39654137	53569733	5656
0.6	11365.260961810467	6343.0	45391054	64281916	5656
0.7	13258.708628005657	7075.0	50634345	74991256	5656
0.8	15153.736209335219	7740.0	55427602	85709532	5656
0.9	17047.597418670437	8344.5	59832442	96421211	5656
1.0	18941.810643564357	8912.5	63888134	107134881	5656
