sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	1341.4382832502358	686.5	17795289	19909627	14842
0.2	2683.1243767686296	1238.0	32088980	39822932	14842
0.3	4023.9521627812965	1684.0	43724840	59723498	14842
0.4	5365.6146071957955	2055.5	53328800	79636452	14842
0.5	6707.271189866595	2364.0	61349953	99549319	14842
0.6	8048.832030723622	2628.5	68122608	119460765	14842
0.7	9389.562592642502	2847.0	73881312	139359888	14842
0.8	10731.315523514351	3039.5	78842257	159274185	14842
0.9	12073.107397924809	3205.0	83148004	179189060	14842
0.95	12743.652068454387	3280.0	85093363	189141284	14842
0.97	13011.875488478641	3308.5	85833259	193122256	14842
1.0	13414.337757714593	3349.0	86911877	199095601	14842
