sampling_fraction	mean_frag_per_bc	median_uniq_frag_per_bc	total_unique_frag_count	total_frag_count	cell_barcode_count
0.0	0.0	0.0	0	0	0
0.1	936.2009626162062	526.0	12982143	14199360	15167
0.2	1872.5793499043978	963.0	23881922	28401411	15167
0.3	2808.9041339750775	1340.0	33105664	42602649	15167
0.4	3745.161534911321	1654.0	40982022	56802865	15167
0.5	4681.3447616535905	1929.0	47762286	71001956	15167
0.6	5617.453023010483	2168.0	53636560	85199910	15167
0.7	6553.9561548097845	2373.0	58763487	99403853	15167
0.8	7489.885211314037	2552.0	63269704	113599089	15167
0.9	8426.28060921738	2713.0	67252658	127801398	15167
0.95	8894.56794356168	2784.0	69076699	134903912	15167
0.97	9081.600778004879	2814.0	69774359	137740639	15167
1.0	9362.533988263995	2855.0	70795908	142001553	15167
