	Chromosome	Start	Strand	Gene	Transcript_type
39	chrKI270711chr.chr1	24650	-1		protein_coding
40	chrKI270711chr.chr1	29626	-1		protein_coding
538	chrKI270734chr.chr1	161852	-1	PRODH	protein_coding
539	chrKI270734chr.chr1	161750	-1	PRODH	protein_coding
576	chrKI270734chr.chr1	131494	1		protein_coding
577	chrKI270734chr.chr1	72411	1		protein_coding
1371	chrKI270713chr.chr1	35407	1		protein_coding
1372	chrKI270713chr.chr1	32528	-1		protein_coding
1379	chrKI270731chr.chr1	13001	-1		protein_coding
3672	chrKI270721chr.chr1	2585	1		protein_coding
6813	chrKI270726chr.chr1	41444	1		protein_coding
6814	chrKI270726chr.chr1	26241	1		protein_coding
8158	chrY	22490397	1	PRY	protein_coding
8183	chrY	12662368	1	USP9Y	protein_coding
8185	chrY	12701231	1	USP9Y	protein_coding
8188	chrY	12847045	1	USP9Y	protein_coding
8401	chrY	22096007	-1	PRY2	protein_coding
8466	chrY	20575776	1	EIF1AY	protein_coding
8468	chrY	20575794	1	EIF1AY	protein_coding
8521	chrY	22973819	1	BPY2	protein_coding
8522	chrY	22984263	1	BPY2	protein_coding
8524	chrY	22992344	1	BPY2	protein_coding
8767	chrY	9527880	1	TSPY10	protein_coding
8768	chrY	9527926	1	TSPY10	protein_coding
8802	chrKI270728chr.chr1	17234	1		protein_coding
8810	chrKI270728chr.chr1	1147868	-1		protein_coding
8811	chrKI270728chr.chr1	1146654	-1		protein_coding
8860	chrY	9466955	1	TSPY1	protein_coding
8872	chrKI270728chr.chr1	936467	-1		protein_coding
8880	chrKI270728chr.chr1	1270984	1		protein_coding
8886	chrY	21894526	-1	RBMY1D	protein_coding
8887	chrY	21894439	-1	RBMY1D	protein_coding
9079	chrY	18773715	-1	HSFY2	protein_coding
9081	chrY	18773686	-1	HSFY2	protein_coding
9082	chrY	18773735	-1	HSFY2	protein_coding
9327	chrY	19744726	-1	KDM5D	protein_coding
9328	chrY	19744939	-1	KDM5D	protein_coding
9329	chrY	19744761	-1	KDM5D	protein_coding
9331	chrY	19744923	-1	KDM5D	protein_coding
9332	chrY	19708949	-1	KDM5D	protein_coding
9335	chrY	19744711	-1	KDM5D	protein_coding
9513	chr18	500701	-1	COLEC12	protein_coding
9595	chrY	18546720	1	HSFY1	protein_coding
9596	chrY	18546691	1	HSFY1	protein_coding
9604	chr18	11981037	1	IMPA2	protein_coding
9605	chr18	11981507	1	IMPA2	protein_coding
9609	chr18	11981670	1	IMPA2	protein_coding
9614	chr18	11981428	1	IMPA2	protein_coding
9616	chrY	3579067	1	TGIF2LY	protein_coding
9617	chrY	3579115	1	TGIF2LY	protein_coding
9618	chrY	22182923	-1	RBMY1F	protein_coding
9620	chrY	22182982	-1	RBMY1F	protein_coding
9639	chr22	16592810	-1	CCT8L2	protein_coding
9702	chr18	9708301	1	RAB31	protein_coding
9759	chrY	18025787	1	CDY2A	protein_coding
9798	chr22	20495913	1	MED15	protein_coding
9801	chr22	20507582	1	MED15	protein_coding
9803	chr22	20507594	1	MED15	protein_coding
9804	chr22	20507602	1	MED15	protein_coding
9805	chr22	20507610	1	MED15	protein_coding
9807	chr22	20507618	1	MED15	protein_coding
9808	chr22	20507641	1	MED15	protein_coding
9810	chr22	20508057	1	MED15	protein_coding
9811	chr22	20523643	1	MED15	protein_coding
9812	chr22	20524275	1	MED15	protein_coding
9814	chr22	20550987	1	MED15	protein_coding
9815	chr22	20551007	1	MED15	protein_coding
9816	chr22	20551241	1	MED15	protein_coding
9817	chr22	20551290	1	MED15	protein_coding
9834	chrY	25052104	-1	BPY2C	protein_coding
9836	chrY	25044023	-1	BPY2C	protein_coding
9837	chrY	25062548	-1	BPY2C	protein_coding
9884	chrY	24833843	1	DAZ4	protein_coding
9885	chrY	24833917	1	DAZ4	protein_coding
9886	chrY	24833919	1	DAZ4	protein_coding
9887	chrY	24833934	1	DAZ4	protein_coding
9888	chrY	24833940	1	DAZ4	protein_coding
9889	chrY	24834127	1	DAZ4	protein_coding
9982	chr18	775266	-1	YES1	protein_coding
9983	chr18	812546	-1	YES1	protein_coding
9984	chr18	812242	-1	YES1	protein_coding
10064	chr18	34976928	1	MAPRE2	protein_coding
10065	chr18	34977051	1	MAPRE2	protein_coding
10067	chr18	34977055	1	MAPRE2	protein_coding
10068	chr18	34978244	1	MAPRE2	protein_coding
10069	chr18	34978426	1	MAPRE2	protein_coding
10070	chr18	35041413	1	MAPRE2	protein_coding
10071	chr18	35041404	1	MAPRE2	protein_coding
10072	chr18	35041431	1	MAPRE2	protein_coding
10074	chr18	35041650	1	MAPRE2	protein_coding
10233	chrY	17880220	-1	CDY2B	protein_coding
10249	chrY	2787682	-1	SRY	protein_coding
10255	chrY	2841602	1	RPS4Y1	protein_coding
10256	chrY	2841920	1	RPS4Y1	protein_coding
10270	chr18	32773023	-1	KLHL14	protein_coding
10271	chr18	32772879	-1	KLHL14	protein_coding
10272	chr18	32772167	-1	KLHL14	protein_coding
10306	chrY	2935281	1	ZFY	protein_coding
10307	chrY	2935381	1	ZFY	protein_coding
10308	chrY	2935389	1	ZFY	protein_coding
10310	chrY	2935505	1	ZFY	protein_coding
10311	chrY	2935651	1	ZFY	protein_coding
10366	chr22	30693782	1	OSBP2	protein_coding
10367	chr22	30694076	1	OSBP2	protein_coding
10368	chr22	30694874	1	OSBP2	protein_coding
10369	chr22	30694889	1	OSBP2	protein_coding
10371	chr22	30764253	1	OSBP2	protein_coding
10374	chr22	30803086	1	OSBP2	protein_coding
10375	chr22	30881681	1	OSBP2	protein_coding
10376	chr22	30887426	1	OSBP2	protein_coding
10378	chr22	30893463	1	OSBP2	protein_coding
10379	chr22	30822516	1	OSBP2	protein_coding
10380	chr22	30694206	1	OSBP2	protein_coding
10418	chrY	12904108	1	DDX3Y	protein_coding
10419	chrY	12904118	1	DDX3Y	protein_coding
10421	chrY	12904868	1	DDX3Y	protein_coding
10422	chrY	12905738	1	DDX3Y	protein_coding
10527	chr18	9102699	1	NDUFV2	protein_coding
10528	chr18	9102695	1	NDUFV2	protein_coding
10530	chr18	9104082	1	NDUFV2	protein_coding
10568	chrY	13480673	-1	UTY	protein_coding
10569	chrY	13480033	-1	UTY	protein_coding
10570	chrY	13479991	-1	UTY	protein_coding
10571	chrY	13479665	-1	UTY	protein_coding
10572	chrY	13480670	-1	UTY	protein_coding
10575	chrY	13479978	-1	UTY	protein_coding
10577	chr18	11908317	-1	MPPE1	protein_coding
10578	chr18	11908349	-1	MPPE1	protein_coding
10581	chr18	11908350	-1	MPPE1	protein_coding
10582	chr18	11908330	-1	MPPE1	protein_coding
10587	chr18	11889415	-1	MPPE1	protein_coding
10588	chr18	11908273	-1	MPPE1	protein_coding
10590	chr18	11897044	-1	MPPE1	protein_coding
10591	chr18	11908348	-1	MPPE1	protein_coding
10592	chr18	11908366	-1	MPPE1	protein_coding
10595	chr18	11908308	-1	MPPE1	protein_coding
10596	chr18	11908331	-1	MPPE1	protein_coding
10598	chr18	11902755	-1	MPPE1	protein_coding
10868	chr22	33058381	-1	SYN3	protein_coding
10877	chr22	33057858	-1	SYN3	protein_coding
10878	chr22	33014529	-1	SYN3	protein_coding
10879	chr22	32541716	-1	SYN3	protein_coding
10956	chr22	30266851	-1	OSM	protein_coding
10957	chr22	30265818	-1	OSM	protein_coding
10958	chr22	30266839	-1	OSM	protein_coding
10959	chr20	1611563	-1		protein_coding
10960	chr20	1588669	-1		protein_coding
10961	chr20	1620009	-1		protein_coding
10964	chr20	4249287	-1	ADRA1D	protein_coding
10968	chr20	1002311	-1	RSPO4	protein_coding
10969	chr20	1002264	-1	RSPO4	protein_coding
10978	chr22	31399604	1	DRG1	protein_coding
10984	chr22	31508285	1	DRG1	protein_coding
10985	chr20	227258	1	DEFB129	protein_coding
10988	chr20	916334	-1	ANGPT4	protein_coding
10991	chr18	37270920	-1	CELF4	protein_coding
10992	chr18	37273043	-1	CELF4	protein_coding
10993	chr18	37565641	-1	CELF4	protein_coding
10994	chr18	37565748	-1	CELF4	protein_coding
10997	chr18	37565765	-1	CELF4	protein_coding
10998	chr18	37565827	-1	CELF4	protein_coding
10999	chr18	37264754	-1	CELF4	protein_coding
11000	chr18	37565651	-1	CELF4	protein_coding
11003	chr18	37485857	-1	CELF4	protein_coding
11004	chr18	37485747	-1	CELF4	protein_coding
11005	chr18	37486034	-1	CELF4	protein_coding
11007	chr18	37565798	-1	CELF4	protein_coding
11023	chrY	13703899	1	TMSB4Y	protein_coding
11062	chrY	13986473	-1	VCY	protein_coding
11064	chr20	1651377	-1	SIRPG	protein_coding
11065	chr20	1657756	-1	SIRPG	protein_coding
11066	chr20	1657779	-1	SIRPG	protein_coding
11068	chr20	1657714	-1	SIRPG	protein_coding
11069	chrY	24813393	-1	DAZ3	protein_coding
11070	chrY	24813469	-1	DAZ3	protein_coding
11071	chrY	24813492	-1	DAZ3	protein_coding
11085	chr22	30080464	1	HORMAD2	protein_coding
11087	chr22	30081011	1	HORMAD2	protein_coding
11102	chr20	5750393	1	SHLD1	protein_coding
11103	chr20	5750401	1	SHLD1	protein_coding
11104	chr20	5750437	1	SHLD1	protein_coding
11105	chr20	5750453	1	SHLD1	protein_coding
11110	chrY	23199008	-1	DAZ1	protein_coding
11111	chrY	23199010	-1	DAZ1	protein_coding
11113	chr20	8019761	-1	TMX4	protein_coding
11114	chr20	8019805	-1	TMX4	protein_coding
11117	chr22	32474811	1	FBXO7	protein_coding
11121	chr22	32475237	1	FBXO7	protein_coding
11122	chr22	32475257	1	FBXO7	protein_coding
11123	chr22	32475593	1	FBXO7	protein_coding
11134	chr20	10435305	1	SLX4IP	protein_coding
11153	chr20	87672	1	DEFB125	protein_coding
11161	chr20	21514064	-1	NKX2-2	protein_coding
11185	chr20	6767686	1	BMP2	protein_coding
11201	chr20	1994058	-1	PDYN	protein_coding
11202	chr20	1984317	-1	PDYN	protein_coding
11203	chr20	1993748	-1	PDYN	protein_coding
11204	chr20	1994285	-1	PDYN	protein_coding
11205	chr20	1992806	-1	PDYN	protein_coding
11206	chr20	1986166	-1	PDYN	protein_coding
11207	chr20	1994088	-1	PDYN	protein_coding
11208	chr20	1984281	-1	PDYN	protein_coding
11209	chr20	1986112	-1	PDYN	protein_coding
11218	chrY	6911752	-1	AMELY	protein_coding
11219	chrY	6872608	-1	AMELY	protein_coding
