	Chromosome	Start	Strand	Gene	Transcript_type
58	chr2	154551776	1	Actl10	protein_coding
624	chrX	31117674	1	Btbd35f29	protein_coding
946	chr7	84915781	1	Olfr290	protein_coding
977	chrY	90839177	-1	Gm21748	protein_coding
1000	chr4	108719649	1	3110021N24Rik	protein_coding
1047	chr9	3015654	1	Gm10720	protein_coding
1056	chr2	169587745	-1	Gm11011	protein_coding
1098	chr8	129131661	-1	Gm10999	protein_coding
1112	chr16	82828382	1	Gm21833	protein_coding
1149	chr19	61183890	1	Gm6020	protein_coding
1209	chr4	42091207	1	Gm3893	protein_coding
1239	chr10	58718210	-1	Gm17542	protein_coding
1268	chrX	148615153	-1	Gm8334	protein_coding
1270	chr2	67413725	1	Gm21830	protein_coding
1287	chr13	41273977	-1	Gm17364	protein_coding
1292	chr4	155645408	-1	Gm10563	protein_coding
1309	chr14	19418930	-1	Gm21738	protein_coding
1317	chr6	129862649	1	Gm17631	protein_coding
1324	chr2	174346712	-1	Gm20721	protein_coding
1337	chr17	25240170	1	Tsr3	protein_coding
1341	chr7	81855794	-1	Gm10160	protein_coding
1357	chr4	56740070	1	Gm26657	protein_coding
1358	chr16	89169490	1	Gm7735	protein_coding
1359	chr11	82038562	-1	Gm17268	protein_coding
1363	chr17	25240116	-1	Gnptg	protein_coding
1364	chr17	25240124	-1	Gnptg	protein_coding
1373	chr1	170885065	1	Gm26620	protein_coding
1384	chr13	66227573	-1	Gm10772	protein_coding
1396	chr12	19954505	1	Gm21863	protein_coding
1407	chr14	73661225	1	Gm21750	protein_coding
1436	chr17	63863791	-1	A930002H24Rik	protein_coding
1530	chr5	106609098	1	Gm17304	protein_coding
1555	chr7	66365905	1	Gm10974	protein_coding
1603	chr2	98662237	1	Gm10801	protein_coding
1669	chrX	21175653	-1	Gm21876	protein_coding
1713	chr5	115098295	-1	Gm10401	protein_coding
1747	chr9	25089422	1	Gm10181	protein_coding
2047	chr10	6761761	-1	Gm10945	protein_coding
2077	chr12	74316394	-1	Gm11042	protein_coding
2082	chr14	54640952	1	Gm17606	protein_coding
2123	chr19	45560531	-1	Poll	protein_coding
2124	chr5	88111530	-1	Gm11116	protein_coding
2132	chrY	13223928	-1	Gm21828	protein_coding
2142	chr2	58859434	1	Gm11099	protein_coding
2163	chr2	126215100	1	Gm17555	protein_coding
2529	chr9	3000922	1	Gm10722	protein_coding
2556	chrY	41406498	1	Gm21800	protein_coding
2567	chrY	5249441	-1	Gm21820	protein_coding
2575	chr8	60503198	-1	Gm10283	protein_coding
2576	chr5	67946421	-1	Gm21905	protein_coding
2621	chr19	24477356	-1	Fam122a	protein_coding
2633	chr9	3036877	1	Gm10715	protein_coding
2634	chr9	3037111	1	Gm10715	protein_coding
2646	chr10	116972609	-1	Gm10271	protein_coding
2655	chr14	7643972	-1	Gm10128	protein_coding
2661	chr6	140729284	1	Gm11077	protein_coding
2678	chr2	155735866	-1	Gm17581	protein_coding
2690	chrY	13465579	-1	Gm21866	protein_coding
2692	chr8	9864251	1	Gm10217	protein_coding
2755	chr17	57011288	-1	Gtf2f1	protein_coding
2776	chrX	165004829	-1	Gm17604	protein_coding
2793	chr8	110102753	-1	Gm17720	protein_coding
2830	chr19	8883930	1	Gm49403	protein_coding
2860	chr15	12321899	-1	1810049J17Rik	protein_coding
2866	chr3	137671524	1	Gm21962	protein_coding
2888	chr7	42578588	-1	Gm21028	protein_coding
2981	chr18	31609512	1	B930094E09Rik	protein_coding
3140	chr2	72986716	-1	Gm11084	protein_coding
3143	chrX	7907835	-1	Gm10491	protein_coding
3173	chrY	40775765	-1	Gm21797	protein_coding
3194	chr14	54976933	1	Gm17428	protein_coding
3198	chr18	34736359	1	Gm3550	protein_coding
3229	chr1	82233112	1	Gm9747	protein_coding
3248	chrY	17937330	-1	Srsy	protein_coding
3286	chrY	13349063	-1	Gm21725	protein_coding
3304	chr5	25223153	-1	E130116L18Rik	protein_coding
3320	chr7	5034118	1	4632433K11Rik	protein_coding
3340	chrX	56447965	1	Gm2174	protein_coding
3381	chr18	80089962	-1	Gm21886	protein_coding
3447	chr1	133661380	-1	Zc3h11a	protein_coding
3641	chr5	88154099	-1	Gm11115	protein_coding
3668	chrY	13941738	1	Gm21767	protein_coding
3701	chr11	31182462	-1	Gm17332	protein_coding
3780	chr3	97674694	-1	Gm17651	protein_coding
3800	chr5	111733924	1	Gm26897	protein_coding
3819	chr2	140152043	1	Gm17374	protein_coding
3826	chr3	103739366	1	Gm10964	protein_coding
3836	chr18	24709348	-1	Gm9955	protein_coding
3851	chr15	64817694	1	Gm21798	protein_coding
3861	chr5	98552695	1	Gm11111	protein_coding
