	Chromosome	Start	Strand	Gene	Transcript_type
0	chr2L	19190342	1	drl	protein_coding
1	chr2R	10879673	-1	Taf5	protein_coding
3	chr3R	7150968	-1	gfzf	protein_coding
4	chr3R	7147378	-1	gfzf	protein_coding
5	chr2R	22205593	-1	Alp7	protein_coding
6	chr2R	11988787	-1	rho-7	protein_coding
12	chr2R	23523856	1	mi	protein_coding
13	chr2R	16571230	-1	RpS15	protein_coding
15	chr3L	14789935	1	Helz	protein_coding
16	chr3L	14790551	1	Helz	protein_coding
17	chr3L	14791437	1	Helz	protein_coding
19	chr2L	357874	-1	Ent1	protein_coding
22	chr3R	6198811	1	Osi24	protein_coding
23	chr3R	16050801	1	msps	protein_coding
24	chr3R	16051878	1	msps	protein_coding
25	chr3R	19031503	1	CG6013	protein_coding
28	chr2R	18184090	-1	CG5721	protein_coding
30	chr3R	4190260	-1	Dsk	protein_coding
31	chr2L	20726551	-1	CG9316	protein_coding
33	chr2R	14091031	1	CG42288	protein_coding
34	chrX	11604194	-1	CG2533	protein_coding
35	chrX	6590776	1	Pat1	protein_coding
36	chr2L	2767845	-1	Taf10b	protein_coding
38	chr2L	422873	1	BBS8	protein_coding
40	chr2R	18627918	1	Eip55E	protein_coding
41	chr2L	21513481	-1	His2B:CG33878	protein_coding
43	chrX	15669797	-1	CG15646	protein_coding
44	chrX	15671029	-1	CG15646	protein_coding
45	chr3L	16295547	-1	CG4962	protein_coding
47	chr2R	5350477	1	CG10395	protein_coding
48	chr2R	5350740	1	CG10395	protein_coding
50	chr3L	6163127	1	Prdm13	protein_coding
52	chrX	1477063	1	mei-38	protein_coding
56	chr3L	8646822	-1	CG13305	protein_coding
58	chr2L	17915023	-1	CG43271	protein_coding
59	chr2L	17914813	-1	CG43271	protein_coding
60	chr2L	15478260	-1	sna	protein_coding
64	chr2R	14933515	1	CG12853	protein_coding
65	chr3L	11819956	-1	CG5946	protein_coding
66	chr3L	11822205	-1	CG5946	protein_coding
67	chr3L	11822275	-1	CG5946	protein_coding
68	chr3L	10638146	1	CG8009	protein_coding
69	chr2R	22270918	1	dve	protein_coding
70	chr2R	22243963	1	dve	protein_coding
72	chr2L	574291	1	cold	protein_coding
73	chr2L	574508	1	cold	protein_coding
74	chr2R	12140631	1	Smyd4-4	protein_coding
78	chr3L	11509394	-1	Sgs8	protein_coding
82	chr3R	8676915	1	CG8043	protein_coding
83	chr2L	10737043	-1	Vha16-5	protein_coding
87	chr3L	19544205	-1	CG9279	protein_coding
88	chr3L	19542992	-1	CG9279	protein_coding
91	chr3L	21728673	-1	CG11247	protein_coding
92	chr3L	21728806	-1	CG11247	protein_coding
96	chrX	17268069	1	f	protein_coding
97	chrX	17262677	1	f	protein_coding
98	chrX	17259374	1	f	protein_coding
99	chrX	17265433	1	f	protein_coding
100	chrX	17252145	1	f	protein_coding
101	chrX	17232942	1	f	protein_coding
102	chrX	17275514	1	f	protein_coding
103	chrX	17278744	1	f	protein_coding
104	chr2R	5974385	-1	BubR1	protein_coding
105	chr2R	15691113	1	CG30088	protein_coding
107	chr2R	7988462	1	Nup44A	protein_coding
108	chr2R	7989859	1	Nup44A	protein_coding
109	chr2R	7988532	1	Nup44A	protein_coding
113	chr3L	11577044	-1	CG33489	protein_coding
114	chr3L	11576913	-1	CG33489	protein_coding
115	chrX	20668328	1	CG1835	protein_coding
116	chrX	20661917	1	CG1835	protein_coding
117	chr3L	20758883	1	CG43251	protein_coding
118	chr2R	7037896	-1	CG33914	protein_coding
119	chr2R	7039050	-1	CG33914	protein_coding
120	chr2L	15979486	1	CG10839	protein_coding
